date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:44:13	26/26	---M--	200	added ('OK')	text/plain	date:Sat,%2006%20Jul%202024%2012:15:29%20GMT	https://yummie.wpengine.com/robots.txt		(from )
21:44:14	749834/749834	---MCZ	200	added ('OK')	text/html	date:Sat,%2006%20Jul%202024%2012:15:29%20GMT	https://yummie.wpengine.com/home-ii/	C:/Users/ACER/Desktop/BHIGITAL%20AGENCY/website%20templates/templte3/yummie.wpengine.com/home-ii/index.html	(from )
21:44:17	5842/5842	---MC-	200	added ('OK')	text/html	date:Sat,%2006%20Jul%202024%2012:15:31%20GMT	https://gmpg.org/xfn/11	C:/Users/ACER/Desktop/BHIGITAL%20AGENCY/website%20templates/templte3/gmpg.org/xfn/11.html	(from https://yummie.wpengine.com/home-ii/)
21:44:21	25/25	---M--	200	added ('OK')	text/plain	etag:%227f564a4-19-3ef0a6a1b08c0%22	https://gmpg.org/robots.txt		(from https://yummie.wpengine.com/home-ii/)
21:44:21	2067/2067	---M--	200	added ('OK')	text/css	etag:%2264e18331-813-3ef0a663b3680%22	https://gmpg.org/xfn/default.css	C:/Users/ACER/Desktop/BHIGITAL%20AGENCY/website%20templates/templte3/gmpg.org/xfn/default.css	(from https://gmpg.org/xfn/11)
21:44:22	4170/4170	---MC-	200	added ('OK')	text/html	date:Sat,%2006%20Jul%202024%2012:15:38%20GMT	https://gmpg.org/xfn/.	C:/Users/ACER/Desktop/BHIGITAL%20AGENCY/website%20templates/templte3/gmpg.org/xfn/.html	(from https://gmpg.org/xfn/11)
21:44:24	16269/16269	---MC-	200	added ('OK')	text/html	date:Sat,%2006%20Jul%202024%2012:15:40%20GMT	https://gmpg.org/xfn/intro	C:/Users/ACER/Desktop/BHIGITAL%20AGENCY/website%20templates/templte3/gmpg.org/xfn/intro.html	(from https://gmpg.org/xfn/11)
21:44:25	7342/7342	---MC-	200	added ('OK')	text/html	date:Sat,%2006%20Jul%202024%2012:15:40%20GMT	https://gmpg.org/xfn/faq	C:/Users/ACER/Desktop/BHIGITAL%20AGENCY/website%20templates/templte3/gmpg.org/xfn/faq.html	(from https://gmpg.org/xfn/11)
21:44:25	3789/3789	---MC-	200	added ('OK')	text/html	date:Sat,%2006%20Jul%202024%2012:15:41%20GMT	https://gmpg.org/xfn/thanks	C:/Users/ACER/Desktop/BHIGITAL%20AGENCY/website%20templates/templte3/gmpg.org/xfn/thanks.html	(from https://gmpg.org/xfn/11)
21:44:27	8271/8271	---MC-	200	added ('OK')	text/html	date:Sat,%2006%20Jul%202024%2012:15:42%20GMT	https://gmpg.org/xfn/join	C:/Users/ACER/Desktop/BHIGITAL%20AGENCY/website%20templates/templte3/gmpg.org/xfn/join.html	(from https://gmpg.org/xfn/.)
21:44:27	4169/4169	---MC-	200	added ('OK')	text/html	date:Sat,%2006%20Jul%202024%2012:15:42%20GMT	https://gmpg.org/xfn/	C:/Users/ACER/Desktop/BHIGITAL%20AGENCY/website%20templates/templte3/gmpg.org/xfn/index.html	(from https://gmpg.org/xfn/.)
